Country,ATT,MID,DEF,Date
France,85,86,83,"April 25, 2022 "
Germany,83,85,80,"April 25, 2022 "
Portugal,85,83,85,"April 25, 2022 "
Spain,83,85,83,"April 25, 2022 "
England,86,83,83,"April 25, 2022 "
Argentina,86,81,81,"April 25, 2022 "
Italy,84,84,82,"April 25, 2022 "
Belgium,83,82,80,"April 25, 2022 "
Holland,81,82,83,"April 25, 2022 "
Brazil,80,80,80,"April 25, 2022 "
Denmark,77,78,79,"April 25, 2022 "
Poland,81,74,75,"April 25, 2022 "
Mexico,80,78,74,"April 25, 2022 "
Austria (National team),79,78,78,"April 25, 2022 "
Czech Republic,79,76,76,"April 25, 2022 "
Norway,81,76,73,"April 25, 2022 "
Sweden,79,76,75,"April 25, 2022 "
Ukraine,76,77,74,"April 25, 2022 "
Scotland,73,76,77,"April 25, 2022 "
United States,75,75,74,"April 25, 2022 "
Wales,74,74,72,"April 25, 2022 "
Greece,73,74,73,"April 25, 2022 "
Canada,75,73,70,"April 25, 2022 "
Hungary,74,69,73,"April 25, 2022 "
Republic of Ireland,69,73,74,"April 25, 2022 "
Romania,72,72,68,"April 25, 2022 "
Finland,72,72,68,"April 25, 2022 "
Australia,75,69,70,"April 25, 2022 "
China PR,74,70,67,"April 25, 2022 "
Iceland,70,68,70,"April 25, 2022 "
Northern Ireland,65,70,71,"April 25, 2022 "
New Zealand,69,67,68,"April 25, 2022 "
France,87,85,82,"Sept. 16, 2021 "
Germany,84,85,84,"Sept. 16, 2021 "
Spain,82,83,82,"Sept. 16, 2021 "
Argentina,86,82,80,"Sept. 16, 2021 "
England,85,83,81,"Sept. 16, 2021 "
Belgium,85,83,80,"Sept. 16, 2021 "
Portugal,85,82,82,"Sept. 16, 2021 "
Italy,83,82,82,"Sept. 16, 2021 "
Netherlands,81,83,83,"Sept. 16, 2021 "
Brazil,81,80,80,"Sept. 16, 2021 "
Uruguay,79,79,78,"Sept. 16, 2021 "
Colombia,81,79,77,"Sept. 16, 2021 "
Denmark,76,82,78,"Sept. 16, 2021 "
Switzerland,75,78,77,"Sept. 16, 2021 "
Poland,82,74,74,"Sept. 16, 2021 "
Austria,81,78,78,"Sept. 16, 2021 "
