Country,conference,ranking/points,Date
Belgium,UEFA,1828,2022-02-10
Brazil,CONMEBOL,1823,2022-02-10
France,UEFA,1786,2022-02-10
Argentina,CONMEBOL,1767,2022-02-10
England,UEFA,1756,2022-02-10
Italy,UEFA,1741,2022-02-10
Spain,UEFA,1705,2022-02-10
Portugal,UEFA,1660,2022-02-10
Denmark,UEFA,1655,2022-02-10
Netherlands,UEFA,1654,2022-02-10
Germany,UEFA,1648,2022-02-10
Mexico,CONCACAF,1648,2022-02-10
USA,CONCACAF,1643,2022-02-10
Switzerland,UEFA,1643,2022-02-10
Croatia,UEFA,1621,2022-02-10
Uruguay,CONMEBOL,1614,2022-02-10
Sweden,UEFA,1588,2022-02-10
Senegal,CAF,1588,2022-02-10
Colombia,CONMEBOL,1586,2022-02-10
Wales,UEFA,1578,2022-02-10
Iran,AFC,1573,2022-02-10
Peru,CONMEBOL,1563,2022-02-10
Japan,AFC,1550,2022-02-10
Morocco,CAF,1547,2022-02-10
Serbia,UEFA,1547,2022-02-10
Chile,CONMEBOL,1543,2022-02-10
Ukraine,UEFA,1535,2022-02-10
Poland,UEFA,1531,2022-02-10
South Korea,AFC,1523,2022-02-10
Austria,UEFA,1512,2022-02-10
Czechia,UEFA,1510,2022-02-10
Nigeria,CAF,1510,2022-02-10
Canada,CONCACAF,1498,2022-02-10
Egypt,CAF,1497,2022-02-10
Russia,UEFA,1493,2022-02-10
Tunisia,CAF,1490,2022-02-10
Australia,AFC,1487,2022-02-10
Cameroon,CAF,1481,2022-02-10
Turkey,UEFA,1473,2022-02-10
Scotland,UEFA,1472,2022-02-10
Hungary,UEFA,1466,2022-02-10
Costa Rica,CONCACAF,1464,2022-02-10
Algeria,CAF,1461,2022-02-10
Ecuador,CONMEBOL,1459,2022-02-10
Norway,UEFA,1455,2022-02-10
Slovakia,UEFA,1455,2022-02-10
Romania,UEFA,1453,2022-02-10
Mali,CAF,1446,2022-02-10
Ireland,UEFA,1444,2022-02-10
Paraguay,CONMEBOL,1441,2022-02-10
Ivory Coast,CAF,1440,2022-02-10
Qatar,AFC,1438,2022-02-10
Saudi Arabia,AFC,1434,2022-02-10
